time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.74602047924e-09,8.7379626378e-07,10.0032464625,0.000653063073622,6.28317512777,0.0,7.81344532156e-07,6.89703366765e-05,0.108210537143,0.0267087341044,-0.00051117877474,0.0,438.8878585139137,438.8454415033529,439.0207382980707,441.23079995234946
0.12000000000000001,-5.84033068762e-08,2.50204008125e-05,10.0129031525,0.00248271222856,0.000344112839437,0.0,-2.20629685954e-05,0.000913286935361,0.213664332624,0.037154473015,0.0163642998898,0.0,437.46639861651545,438.86901229319847,438.69414500109826,439.5608069835377
0.18,-1.43934489621e-05,0.000152392278646,10.0329470718,0.00509652240678,0.00122731641308,0.0,-0.00057057586862,0.00363265886775,0.454400141658,0.0540106254165,0.01121033131,0.0,479.30407215179827,478.91215898162494,479.36401639834907,480.64386608388554
0.23999999999999996,-8.0660159995e-05,0.000503711895337,10.0655814533,0.00956166662312,0.00252030681372,0.0,-0.00175613557828,0.00853445579164,0.63332689653,0.0986298634294,0.0367793527607,0.0,461.03031847884466,463.04584991593833,459.21579535098505,462.74463220591275
0.3,-0.000251354886084,0.00125437637464,10.1081503928,0.0165219140873,0.00493473128526,0.0,-0.00418783267902,0.0172074008927,0.785535684863,0.137886590029,0.0463909731503,0.0,453.057710803349,453.8305262720355,452.20313796127533,455.3648662374003
0.36000000000000004,-0.000628904455947,0.00270567516765,10.1608025465,0.0250984978089,0.00763117066849,0.0,-0.00871014474821,0.0321323919679,0.969377289751,0.151500782946,0.0418706653726,0.0,464.5282688826201,464.1747812088366,461.97270168823087,463.0628311674941
0.4200000000000001,-0.0013325745483,0.00523183490725,10.2236394812,0.0338118606233,0.0103207322311,0.0,-0.0150318420914,0.0530553721317,1.12501594731,0.128135673236,0.0501621593637,0.0,454.7609632655231,455.4256487872643,456.3679145086121,454.5181551527894
0.48000000000000015,-0.00245300706481,0.00912217009618,10.2935398841,0.0415044750132,0.0135317472644,0.0,-0.0226239314796,0.0773808554534,1.20488403581,0.128358801649,0.0594977614991,0.0,432.20527846248297,432.99324965444276,431.1978225770807,431.2322438862396
0.5400000000000001,-0.00416687722952,0.0148436927939,10.373271628,0.0496554278187,0.0169378623871,0.0,-0.0349342483306,0.114309385035,1.45250734744,0.147698826114,0.0506620430924,0.0,483.25571782395326,482.59122679580923,482.664234416173,484.13663961632517
0.6000000000000002,-0.00669537276755,0.0229655815982,10.4673735845,0.0581753550086,0.0206879707085,0.0,-0.0497645402931,0.15746294153,1.68384567278,0.127067564726,0.0793260545011,0.0,478.09662057978005,480.2777319193962,479.9180641290921,478.3666248545285
0.6600000000000003,-0.0100321018151,0.0333812794272,10.5669747522,0.0655918389872,0.0256192198897,0.0,-0.061850735273,0.190333422988,1.63621352658,0.115601173146,0.0873679479381,0.0,389.60116957891825,390.35878037195715,391.8029212351662,390.7515437043096
0.7200000000000003,-0.0142662767215,0.046115423209,10.6671142786,0.072615549397,0.0304729239523,0.0,-0.0797807180336,0.234805613148,1.70160965618,0.119831364422,0.0630185350007,0.0,429.5301014538181,427.4656409433643,429.409073730601,429.78053240873015
0.7800000000000004,-0.0195406006864,0.0613583852721,10.76714293,0.0800870738441,0.0339227425959,0.0,-0.0963149458959,0.273863572918,1.63272254556,0.132555594557,0.0431795180295,0.0,385.04809953498494,383.1695419535631,381.8628429565505,383.09133925553016
0.8400000000000004,-0.026051774923,0.0795201493716,10.8686229537,0.0880683724826,0.0372442927124,0.0,-0.121035647073,0.33234318751,1.74968198118,0.133936837031,0.0725315349385,0.0,445.33613332056836,447.73227984634605,445.01668874939656,445.1459826896864
0.9000000000000005,-0.0341576211099,0.101441386656,10.9780191222,0.0957721096924,0.041327838586,0.0,-0.149613539466,0.399198769368,1.89651355454,0.114022007568,0.0571470766443,0.0,456.49955736229094,455.2736769530438,456.20626154837504,454.6278667087851
0.9600000000000005,-0.0441443734328,0.127720914791,11.0980851795,0.10245265887,0.0448524317389,0.0,-0.183675260467,0.477541573904,2.10521068225,0.105363916093,0.0617570920625,0.0,473.7508550328062,474.1073337862549,476.3350300775042,475.6825580807167
1.0200000000000005,-0.0562881940714,0.158918628011,11.2312413241,0.108897658993,0.048893971957,0.0,-0.221571047365,0.563098300238,2.33276116547,0.111231872464,0.076697696512,0.0,481.23453937269727,482.36703119941296,480.931865385128,481.38523936756
1.0800000000000005,-0.0707330085615,0.195239886777,11.3765092304,0.115945529909,0.0535174900739,0.0,-0.260428957131,0.648336206433,2.50898635813,0.127668176516,0.0777704996552,0.0,467.8773542777696,467.9652477061321,466.411253496573,467.70460962647735
1.1400000000000006,-0.0874981389027,0.236584368807,11.5301679918,0.123372394618,0.0580532450121,0.0,-0.298870395934,0.730546023014,2.61258694248,0.114590432773,0.0708503541811,0.0,446.31105880855796,445.7503684261775,447.03107562149836,445.9779045193217
1.2000000000000006,-0.106684423791,0.283054838432,11.6903727668,0.129833484405,0.0624245398366,0.0,-0.34110808105,0.819118734332,2.72714798011,0.0879938745632,0.0765876082695,0.0,450.3020719133326,450.76996229577264,451.5907548734815,449.4499876470874
1.2600000000000007,-0.128482764622,0.33493276832,11.8571686826,0.135209955843,0.0669070887925,0.0,-0.385956145967,0.910637582199,2.83231138589,0.092652755446,0.07066187141,0.0,449.3053435418012,448.8289668683776,447.6932453842361,448.0787838597084
